# GMM n=4 pocket classification, T=25C
# Classes: S1_pocket, S3_pocket, surface, extended
# frame  chi2  chi2_state  wcn  d_S1  d_S3  M  dist_nm  Q_p  class
0  64.80  1  0.870824  11.289  8.174  -0.034297  0.619357  -0.013491  surface
1  91.30  1  0.865209  11.784  8.103  -0.217940  0.764371  -0.003106  S3_pocket
2  22.00  0  0.848151  10.815  9.290  -0.223772  0.783181  -0.003299  surface
3  6.97  0  0.850395  11.006  8.926  -0.305644  0.799270  -0.011516  surface
4  42.44  0  0.868976  10.906  8.973  -0.205083  0.784618  -0.010553  surface
5  36.34  0  0.832378  11.182  9.379  -0.036105  0.785458  -0.011237  surface
6  33.06  0  0.821262  11.887  8.928  -0.167356  0.864418  -0.016802  surface
7  34.22  0  0.824184  11.506  9.312  -0.166138  0.824677  -0.034629  surface
8  24.42  0  0.806530  11.699  9.336  -0.221393  0.869597  -0.009991  surface
9  1.79  0  0.794997  11.455  10.133  -0.213085  0.940582  -0.010674  surface
10  34.79  0  0.800818  11.139  10.579  -0.353356  0.963414  0.002086  surface
11  49.90  0  0.792174  10.252  11.793  -0.086180  1.080874  -0.001000  surface
12  59.29  1  0.781114  9.119  11.311  -0.296167  1.103941  -0.023848  surface
13  35.61  0  0.762859  9.132  11.386  0.105367  1.086926  -0.008232  surface
14  34.47  0  0.842622  10.404  9.504  -0.373295  0.883005  -0.006166  S3_pocket
15  53.68  1  0.841527  9.430  10.751  -0.258933  0.992006  0.013261  surface
16  30.49  0  0.829785  10.058  9.733  -0.505909  0.954515  -0.006882  S3_pocket
17  50.26  1  0.777830  10.247  9.636  0.031972  0.968108  -0.024244  surface
18  45.72  0  0.832066  10.102  9.799  -0.186378  0.921183  0.004688  surface
19  73.86  1  0.790381  11.243  10.447  0.135810  0.937301  -0.009990  surface
20  43.82  0  0.781478  8.833  11.484  0.059016  1.014397  -0.030407  surface
21  47.79  0  0.863870  10.010  9.614  -0.438266  0.902408  -0.007163  S3_pocket
22  43.40  0  0.847033  9.784  10.046  -0.379169  0.905985  -0.007161  surface
23  4.33  0  0.840928  9.403  10.182  -0.435140  0.964132  -0.014804  surface
24  43.01  0  0.862839  9.837  9.446  -0.415157  0.924382  -0.014359  S3_pocket
25  77.07  1  0.805415  10.530  9.533  0.313154  0.939845  -0.018709  surface
26  75.85  1  0.814001  10.721  9.715  0.091154  0.893760  -0.021516  surface
27  49.84  0  0.854750  10.510  9.101  -0.381357  0.930553  -0.019936  S3_pocket
28  62.68  1  0.842981  10.070  9.475  -0.192734  0.915387  -0.025393  surface
29  50.26  1  0.882639  9.899  9.104  -0.283625  0.885672  -0.031639  surface
30  81.33  1  0.905540  9.302  9.808  -0.480712  0.926452  -0.038263  S3_pocket
31  52.36  1  0.902837  9.498  9.626  -0.258673  0.911679  -0.033271  surface
