window_set,T_C,n_frames,P_S1,P_S1_lo,P_S1_hi,P_S2,P_S2_lo,P_S2_hi,P_S3,P_S3_lo,P_S3_hi,P_other,P_other_lo,P_other_hi,tau_S3_frames,tau_S1_frames,chi2_mean_S1_deg,chi2_mean_S3_deg
published,25,1001,0.9291,0.8971,0.989,0.001,0.0,0.003,0.0,0.0,0.0,0.0699,0.011,0.0979,,17.1,100.3,
published,30,1001,0.99,0.984,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.003,0.016,,1.0,80.5,
published,35,1001,0.7682,0.5414,0.985,0.004,0.0,0.012,0.2158,0.0,0.4446,0.012,0.005,0.019,201.4,192.0,121.2,-118.2
published,40,1001,0.5025,0.2747,0.7173,0.0529,0.011,0.0879,0.3357,0.1259,0.6034,0.1089,0.048,0.1479,100.1,90.5,112.4,-116.3
published,45,1001,0.002,0.0,0.001,0.036,0.016,0.0629,0.956,0.9331,0.976,0.006,0.001,0.013,3.6,2.0,77.5,-120.5
published,50,1001,0.5485,0.2777,0.7583,0.0639,0.024,0.1269,0.3616,0.1808,0.6234,0.026,0.0,0.043,94.0,106.0,98.0,-109.0
narrow,25,1001,0.8262,0.7323,0.9491,0.001,0.0,0.003,0.0,0.0,0.0,0.1728,0.048,0.2568,,53.7,97.0,
narrow,30,1001,0.9391,0.9111,0.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0609,0.025,0.0869,,3.6,81.8,
narrow,35,1001,0.6074,0.4375,0.7812,0.004,0.0,0.012,0.2158,0.0,0.4267,0.1728,0.1179,0.2328,201.4,85.5,117.3,-118.2
narrow,40,1001,0.3217,0.1468,0.4656,0.0529,0.013,0.0879,0.3357,0.1388,0.5975,0.2897,0.1329,0.4685,100.1,49.9,102.8,-116.3
narrow,45,1001,0.002,0.0,0.001,0.036,0.016,0.0639,0.956,0.9301,0.976,0.006,0.001,0.014,3.6,2.0,77.5,-120.5
narrow,50,1001,0.5265,0.2657,0.7693,0.0639,0.023,0.1229,0.3616,0.1728,0.6274,0.048,0.005,0.0729,94.0,105.5,97.6,-109.0
