T_C,state,n,sasa_mean_A2,sasa_median_A2,sasa_sd_A2,frac_sasa_gt_100,sasa_max_A2
25,S1,930,25.59,19.18,21.0,0.0011,104.42
25,S2,1,38.9,38.9,,0.0,38.9
25,other,70,48.63,48.73,16.71,0.0,94.52
30,S1,991,5.89,3.18,6.89,0.0,37.64
30,other,10,6.58,1.82,7.85,0.0,19.85
35,S1,769,15.92,14.63,8.37,0.0,88.05
35,S2,4,15.76,15.57,4.86,0.0,21.15
35,S3,216,22.07,21.23,10.95,0.0,60.55
35,other,12,14.74,14.94,5.7,0.0,27.31
40,S1,503,36.68,27.89,24.79,0.0258,144.78
40,S2,53,49.44,49.97,17.49,0.0,80.43
40,S3,336,44.63,46.09,17.08,0.003,119.41
40,other,109,36.5,24.9,27.48,0.0367,121.54
45,S1,2,51.36,51.36,25.27,0.0,69.23
45,S2,36,26.49,24.11,14.41,0.0,58.49
45,S3,957,18.87,17.5,11.38,0.0,79.75
45,other,6,26.24,28.74,8.05,0.0,36.12
50,S1,549,42.2,39.33,19.78,0.0164,123.8
50,S2,64,31.04,24.82,24.87,0.0156,160.87
50,S3,362,24.35,22.35,13.25,0.0,79.73
50,other,26,54.23,48.31,16.43,0.0,91.0
pooled,S1,3744,22.33,16.31,21.1,0.0061,144.78
pooled,S2,158,35.84,30.41,22.33,0.0063,160.87
pooled,S3,1871,24.93,21.56,15.99,0.0005,119.41
pooled,other,233,39.46,36.34,24.61,0.0172,121.54
