T_C,T_K,n,n_S1,n_S3,window_def,lnK,dG_S3_S1_kJmol
25,298.15,1001,930,0,published_windows,,
30,303.15,1001,991,0,published_windows,,
35,308.15,1001,769,216,published_windows,-1.269812561821479,3.2533888671180717
40,313.15,1001,503,336,published_windows,-0.403479010136535,1.0505277956604604
45,318.15,1001,2,957,published_windows,6.170656210893009,-16.322905398850924
50,323.15,1001,549,362,published_windows,-0.41645422968375956,1.1189369682835162
25,298.15,1001,997,3,sign_cut,-5.806138481293729,14.39316780278275
30,303.15,1001,1001,0,sign_cut,,
35,308.15,1001,780,217,sign_cut,-1.2793965661431779,3.277944060459284
40,313.15,1001,598,343,sign_cut,-0.5558603067846919,1.4472790110793257
45,318.15,1001,2,963,sign_cut,6.17690623123818,-16.339438241930893
50,323.15,1001,574,362,sign_cut,-0.46098518449379533,1.2385835657205233
25,298.15,1001,827,0,narrow_windows,,
30,303.15,1001,940,0,narrow_windows,,
35,308.15,1001,608,216,narrow_windows,-1.034896474282002,2.65150997027399
40,313.15,1001,322,336,narrow_windows,0.0425596144187959,-0.11081136018552037
45,318.15,1001,2,957,narrow_windows,6.170656210893009,-16.322905398850924
50,323.15,1001,527,362,narrow_windows,-0.3755563367155913,1.0090517489600481
